Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Seniority,labels
32218,27,10,24,15,13,1,30,8.5,0
83917,12,514,22,732,42,198,79,9.33,2
46102,3,14,0,1,0,0,1,8.44,0
84574,72,387,20,713,38,54,163,9.2,2
56181,6,121,103,69,8,44,48,9.61,0
63120,53,965,69,279,54,41,69,9.88,2
73691,58,707,21,250,85,43,73,8.78,2
76140,57,586,66,653,17,0,26,8.26,2
62859,37,1063,89,102,16,12,25,9.63,2
45906,20,305,3,27,4,3,144,9.28,0
77632,73,1200,105,758,0,42,147,9.44,2
46463,56,163,2,40,8,11,11,9.0,1
105471,36,1009,181,104,202,21,207,9.57,2
55282,9,125,6,73,8,4,19,8.68,0
78710,42,721,0,152,119,50,50,8.24,2
66886,28,315,4,62,41,31,146,8.92,0
98777,23,1000,19,711,125,115,38,8.5,2
29103,38,16,0,17,6,3,6,9.97,0
67445,63,757,80,217,29,80,11,10.01,2
50616,71,30,2,25,0,1,9,8.35,1
49431,9,219,3,100,26,0,17,10.04,0
153924,81,1,1,1,1,1,1,8.52,1
61278,87,111,3,28,2,6,15,8.62,1
73059,36,410,112,420,0,82,71,8.96,2
46734,86,100,1,39,6,1,76,8.82,1
56253,83,509,0,65,7,11,5,9.69,1
58330,87,445,53,213,104,98,151,8.64,2
25965,29,2,2,11,41,7,11,9.94,0
14661,88,4,1,11,6,2,2,9.62,1
18690,77,6,1,7,23,4,19,9.64,1
45068,25,14,0,3,0,0,3,9.25,0
21063,34,1,10,11,19,3,15,8.89,0
29187,43,26,0,6,0,0,2,9.27,0
54690,76,111,16,37,7,9,18,8.78,1
59304,81,418,61,428,80,51,10,9.05,2
59247,87,327,9,122,19,14,83,8.77,1
66731,33,371,159,194,58,106,141,9.93,2
77353,38,275,59,107,69,101,59,8.67,2
26751,26,1,1,5,0,3,1,8.24,0
81300,17,1004,12,145,32,12,36,9.8,2
70337,75,187,81,149,25,43,91,8.62,1
36145,13,56,4,76,17,1,18,9.17,0
65295,19,365,32,117,34,110,6,8.65,0
68118,51,595,23,123,10,23,154,8.83,2
68743,81,1132,134,384,175,134,115,9.96,2
41039,32,34,11,137,179,61,45,9.06,0
38946,84,116,6,82,6,6,41,8.81,1
65777,87,565,32,435,28,32,54,8.66,1
66476,99,372,18,126,47,48,78,9.45,1
86857,96,899,102,838,133,102,40,9.93,2
160803,21,55,16,1622,17,3,4,10.04,2
77845,40,760,40,480,0,40,26,8.25,2
69476,3,260,86,559,63,9,67,8.88,0
50611,98,459,0,24,6,0,4,9.87,1
61209,73,466,0,224,119,49,99,8.98,2
42315,90,67,15,80,17,11,80,9.1,1
13084,29,2,0,7,3,7,10,8.79,0
47570,3,67,1,20,0,2,31,9.22,0
61923,94,92,4,18,3,3,6,9.06,1
34824,65,4,2,11,2,0,4,8.39,1
26518,33,20,1,28,3,3,2,9.36,0
45938,46,273,11,178,62,83,29,8.79,0
78468,29,434,22,388,104,22,34,8.36,0
78901,99,321,11,309,33,26,34,8.92,1
71427,26,212,123,177,15,64,23,8.43,0
71022,30,909,12,278,0,12,242,8.51,2
90247,27,1184,32,352,21,16,16,8.3,2
41335,24,112,19,21,16,14,5,8.64,0
35682,34,23,0,8,6,2,18,8.14,0
43185,88,537,6,42,16,6,30,9.35,1
66375,96,712,0,45,0,0,191,8.74,1
25252,26,1,3,4,2,2,6,9.1,0
55250,49,664,58,83,32,0,66,9.82,2
33249,11,6,10,21,19,14,42,9.49,0
58398,44,299,5,201,21,21,49,9.26,0
50272,75,99,13,66,43,8,4,9.03,1
76618,64,749,40,294,121,160,147,9.69,2
87305,19,345,25,501,63,138,80,9.9,2
25851,45,9,4,18,7,5,5,9.51,0
58710,77,440,81,368,0,122,174,9.38,2
45160,9,8,2,5,3,0,3,8.39,0
74806,1,670,9,249,0,28,9,9.66,0
59111,90,524,0,134,28,28,155,9.29,1
18988,43,6,0,6,2,1,1,8.24,0
72190,79,597,166,597,172,166,249,9.51,2
7500,19,7,0,12,13,7,32,10.04,0
80395,62,445,25,706,80,76,48,8.73,2
75012,41,294,142,218,164,58,151,8.56,2
56962,60,292,3,77,10,3,26,8.85,1
89891,17,412,22,132,59,28,183,9.34,2
35946,24,8,0,3,0,0,0,8.89,0
53593,60,349,4,78,6,0,43,10.03,1
45072,74,144,2,99,7,2,30,8.84,1
89694,22,1126,28,211,37,28,42,8.85,2
72025,46,967,0,617,43,50,0,8.3,2
67432,69,432,79,341,177,136,170,9.39,2
70545,29,138,39,63,55,18,21,8.21,0
17487,37,0,0,1,7,4,6,9.42,0
62882,26,509,133,497,78,24,97,10.02,2
64108,8,948,10,86,13,21,21,9.4,0
34941,26,39,2,25,4,3,24,9.45,0
48767,79,28,1,21,3,0,10,8.62,1
38702,71,13,11,24,13,8,40,9.04,1
82224,83,307,26,360,138,31,40,8.56,2
83844,57,901,31,345,75,31,191,9.27,2
17003,37,2,5,12,4,8,7,8.69,0
71163,30,283,17,372,138,106,44,8.44,2
33697,34,4,3,7,0,3,11,8.92,0
63564,0,769,80,252,15,34,65,8.55,0
83443,89,518,42,742,55,56,84,8.63,2
51518,92,350,8,66,17,4,4,8.87,1
80952,20,778,178,689,41,27,44,9.47,2
75507,56,709,93,374,104,80,80,8.29,2
63855,28,359,35,314,93,116,89,9.52,2
62220,55,799,12,375,16,12,12,10.02,2
58512,25,895,10,101,13,0,152,8.91,0
40662,0,40,2,23,0,4,23,9.42,0
38829,86,76,0,7,0,0,16,8.36,1
35523,8,11,5,22,12,5,11,8.87,0
79146,33,245,16,223,21,43,16,8.32,0
78285,13,647,107,391,175,67,40,8.8,2
31626,12,39,1,9,2,1,34,9.27,0
75127,92,203,35,305,46,17,227,8.24,1
48726,90,138,3,38,4,0,59,9.31,1
74985,8,587,51,898,247,0,86,9.93,2
67430,6,595,97,291,127,133,121,9.95,2
46891,91,43,12,23,29,15,61,8.96,1
62058,52,301,7,74,10,0,58,9.23,1
72063,3,180,32,348,76,32,90,9.12,0
78939,57,794,115,243,150,0,205,8.68,2
42720,9,392,5,91,28,26,112,9.32,0
33622,22,39,1,22,3,4,12,9.35,0
6835,76,107,2,12,2,2,12,9.69,1
41452,86,13,0,3,0,0,0,9.45,1
40760,64,70,0,17,0,0,6,8.96,1
74250,90,680,11,392,75,0,0,8.56,1
51124,79,26,1,11,0,1,4,8.66,1
72258,28,522,0,522,227,120,134,8.93,2
71466,86,412,12,546,78,182,0,8.37,2
36283,42,6,5,5,8,0,5,8.34,0
20587,39,2,3,6,4,1,9,8.27,0
30467,8,1,3,8,2,5,5,8.41,0
31590,40,6,2,15,6,6,3,9.16,0
20425,5,4,12,5,3,16,17,9.8,0
17144,96,18,2,19,0,2,6,8.5,1
42564,28,324,48,186,39,18,198,9.62,2
43783,22,327,9,125,25,4,139,8.22,0
40780,30,229,27,71,13,3,34,9.94,0
62847,45,521,168,706,80,76,61,9.59,2
82017,58,184,23,446,30,23,23,9.78,1
16813,49,4,8,11,12,2,13,9.08,1
51267,37,183,2,64,7,2,12,8.8,0
46524,70,31,19,35,26,14,52,9.37,1
45183,33,219,3,60,12,9,12,9.57,0
70421,98,479,28,136,75,14,35,8.14,1
60161,17,584,44,212,46,8,177,9.82,2
73926,54,627,91,597,159,91,15,9.46,2
19329,39,24,1,16,12,2,5,8.67,0
61872,81,330,5,159,36,27,16,8.68,1
46984,71,19,1,10,2,1,8,9.39,1
34838,62,28,23,29,29,14,47,9.58,1
82716,8,606,148,228,15,148,22,8.78,2
48192,76,1039,43,204,153,58,29,9.36,2
49681,66,411,0,26,0,0,21,8.78,1
56850,83,34,1,19,2,7,0,8.4,1
55267,28,161,28,136,32,3,45,8.82,0
59666,87,623,53,178,23,17,133,9.41,1
72504,43,604,26,470,123,161,94,9.36,2
26872,0,3,10,8,3,16,32,8.84,0
21359,1,12,2,17,6,1,10,9.33,0
73170,1,184,174,256,50,30,32,8.21,0
52750,72,393,0,239,90,69,69,9.53,2
91820,72,410,73,747,76,161,30,8.73,2
65968,12,376,9,83,19,4,4,8.27,0
30772,89,7,2,4,2,1,4,8.43,1
22507,67,68,0,226,51,157,68,9.73,1
65685,54,642,14,49,0,7,57,8.39,1
25804,34,8,7,9,13,6,12,8.96,0
76412,15,840,53,804,23,71,17,9.28,2
22063,43,7,10,13,3,11,11,9.02,0
57091,0,464,5,64,7,0,37,8.17,0
78353,51,752,122,476,39,153,34,9.34,2
93404,97,1279,15,287,20,0,15,9.28,2
37859,75,22,1,8,2,1,2,9.59,1
80995,83,860,28,409,73,56,56,9.27,2
16529,23,3,0,5,13,0,1,8.46,0
55412,65,10,5,28,11,1,8,8.73,1
48789,94,351,16,156,7,5,145,9.93,1
56575,42,421,5,90,0,16,10,9.28,0
25130,10,2,5,7,0,18,18,8.87,0
35441,94,25,1,9,2,1,1,9.5,1
71391,50,336,123,274,46,123,141,9.39,2
49494,46,191,9,97,0,6,82,9.31,0
81702,98,563,50,774,28,31,187,9.9,2
45889,42,31,0,6,0,1,8,9.13,0
56628,30,479,5,82,7,17,171,8.41,0
34026,11,18,6,15,12,8,17,9.03,0
40049,61,91,65,52,10,44,28,9.72,1
34176,12,5,7,24,19,14,20,8.27,0
19419,76,2,14,28,16,3,7,9.77,1
82504,2,362,50,431,134,35,54,9.06,2
81205,43,724,74,929,97,55,130,8.59,2
61618,27,605,91,399,0,45,205,9.88,2
55284,60,547,7,140,0,7,63,9.65,1
49980,79,104,1,54,13,9,14,8.82,1
15072,96,8,2,15,0,10,18,9.27,1
49166,17,224,2,25,7,0,110,9.18,0
82347,38,556,54,845,202,133,63,9.78,2
30843,43,24,0,2,0,0,9,8.23,0
46374,1,408,0,21,0,0,17,8.42,0
60474,25,265,199,303,234,9,170,9.38,2
38576,2,34,0,7,0,0,0,8.45,0
55357,66,374,64,116,84,25,64,9.49,2
37758,49,27,2,10,0,0,1,9.87,1
85710,5,600,20,350,29,30,33,9.28,0
23228,71,13,2,18,6,1,0,8.56,1
44602,35,167,2,89,0,0,34,8.5,0
7500,94,0,2,3,4,1,5,9.6,1
38683,80,46,35,69,84,41,66,9.87,1
49514,61,88,39,78,58,13,93,8.67,1
57906,29,243,11,119,10,3,15,9.18,0
43456,0,275,11,68,25,7,7,9.39,0
19485,80,6,0,4,0,0,0,8.9,1
53172,54,121,62,90,68,20,125,9.28,2
30545,71,4,12,15,19,7,12,9.83,1
70123,27,1308,0,396,23,0,0,8.88,2
62450,61,515,47,267,62,66,38,8.61,2
21675,55,4,0,16,17,4,4,8.18,1
42395,35,48,13,57,24,15,25,8.37,0
61346,34,562,58,168,43,16,142,8.86,2
80812,95,769,22,500,210,143,33,8.92,2
42835,64,379,4,93,12,9,98,9.13,1
39922,30,29,12,59,19,1,36,9.5,0
86424,12,387,68,569,89,45,68,8.37,2
17117,96,12,23,38,30,18,7,9.58,1
24762,16,6,10,12,3,15,40,8.52,0
35797,16,27,1,14,4,1,21,9.84,0
36627,78,9,1,5,0,0,1,9.07,1
51111,83,22,0,19,6,5,3,8.16,1
82072,67,889,55,685,168,92,129,9.13,2
46231,87,189,2,55,0,5,12,9.72,1
42243,34,48,0,2,0,0,5,8.68,0
51195,46,230,14,156,82,24,58,9.38,0
68092,7,852,60,207,78,36,48,8.67,2
31814,73,35,3,20,4,1,20,9.52,1
51390,54,205,20,47,23,2,56,9.94,1
76630,93,255,31,446,40,56,175,8.59,1
26868,52,0,0,1,8,3,2,8.3,1
55260,81,825,8,53,11,0,242,9.68,2
64090,8,316,58,161,76,51,135,9.03,0
78331,97,756,138,354,160,169,61,8.56,2
37087,50,194,55,134,15,0,3,9.02,1
21846,38,7,17,18,6,10,26,8.82,0
81320,61,183,33,493,59,103,57,9.53,2
54137,46,171,0,11,0,1,20,9.0,0
66825,73,243,101,405,29,40,40,9.09,2
57100,19,181,21,69,39,3,96,8.7,0
58917,10,151,7,89,0,7,28,9.4,0
85072,94,494,92,391,194,11,241,8.36,2
86429,10,464,28,873,29,18,37,8.74,0
45684,37,5,1,5,10,0,7,8.71,0
47889,94,29,0,29,0,5,4,8.62,1
45921,23,102,9,49,24,3,12,8.44,0
78420,75,604,28,674,91,28,28,9.13,2
75114,40,571,12,523,63,60,24,8.78,2
52278,24,953,0,71,0,0,174,9.56,0
35641,11,63,3,67,8,9,28,9.09,0
95529,29,770,29,890,250,27,24,9.7,2
62820,51,398,61,265,138,61,53,9.27,2
73113,86,741,19,154,50,9,28,8.64,1
42607,30,156,29,56,30,32,47,8.75,0
74637,73,960,64,464,146,0,16,9.25,2
46015,25,38,0,2,0,0,6,8.35,0
72354,67,315,26,473,220,12,182,9.33,2
39858,67,15,20,25,2,7,26,9.56,1
34469,58,19,6,20,0,5,12,8.29,1
83033,82,812,99,431,237,149,33,8.25,2
24401,98,73,28,217,10,24,115,9.96,1
77583,93,372,23,384,250,12,108,8.52,2
74116,53,871,111,704,145,55,166,8.63,2
68397,6,760,80,466,17,13,80,8.75,2
79632,42,471,0,510,99,21,12,8.36,0
46107,78,31,9,27,16,9,33,8.52,1
64950,29,819,0,72,12,0,63,10.01,0
25443,82,1,4,3,8,9,7,9.65,1
32892,78,26,0,15,2,1,2,8.23,1
71796,54,354,21,311,167,75,32,8.81,2
67536,45,1253,0,447,23,71,35,9.24,2
55239,59,371,17,238,23,24,106,9.09,1
60554,8,588,7,76,110,15,15,9.02,0
64831,51,480,86,249,75,86,144,9.19,2
56067,51,517,12,54,16,6,120,9.08,1
82025,76,267,98,606,48,70,98,9.22,2
94384,62,1111,24,790,160,45,172,9.45,2
14906,86,7,7,14,7,16,15,9.65,1
51563,60,1166,0,48,0,0,36,9.88,2
57937,56,261,42,144,55,48,133,8.5,1
68274,83,135,25,51,23,25,46,8.88,1
39771,92,6,2,18,2,8,14,8.7,1
67893,31,711,28,142,49,18,47,9.88,2
27922,80,11,0,13,2,4,11,8.27,1
52190,39,42,0,17,0,0,18,8.28,0
44051,20,79,7,58,6,3,18,9.55,0
42767,53,20,6,43,19,5,38,9.27,1
46106,84,30,0,8,2,0,14,8.27,1
16927,50,20,2,23,3,1,4,9.52,1
59754,96,115,27,44,4,146,139,9.71,1
53700,94,263,5,233,69,41,83,10.0,1
59041,25,69,2,15,2,2,6,8.28,0
54237,48,267,3,30,4,0,57,9.31,1
70647,65,561,85,171,25,123,114,9.9,2
52597,69,492,0,37,7,0,42,8.28,1
41021,12,14,7,9,6,16,12,9.63,0
40233,84,80,4,46,0,17,2,8.84,1
50183,47,97,12,84,13,10,15,8.15,0
54753,87,197,107,227,7,59,131,8.93,1
92955,35,693,21,925,31,24,84,8.99,2
33471,47,43,2,27,0,9,12,9.85,1
34596,48,14,0,2,0,0,7,9.35,1
44010,46,186,36,234,86,72,48,9.84,2
84219,27,434,137,400,45,137,45,8.54,2
40706,37,59,0,11,4,2,5,9.58,0
15716,8,16,5,30,8,7,26,9.76,0
59052,29,230,35,75,63,57,31,8.75,0
80573,85,829,138,430,60,92,15,9.84,2
83715,2,318,8,407,150,35,8,8.53,0
82576,66,1206,55,445,168,18,18,10.04,2
35704,54,30,9,12,2,11,30,8.62,1
53103,70,729,17,133,11,0,195,8.93,1
46779,55,12,1,3,0,0,7,9.1,1
4861,20,2,1,1,1,0,1,8.15,0
33462,78,22,3,18,0,0,11,9.03,1
80763,17,674,168,108,192,42,231,9.01,2
65352,43,284,3,84,4,7,23,8.99,0
82170,13,1023,93,651,49,55,37,8.73,2
75759,46,1394,22,708,89,91,182,8.81,2
79689,65,311,26,640,180,37,121,9.27,2
35340,1,27,0,12,0,1,5,8.13,0
85683,6,1296,17,311,45,69,51,8.41,2
24884,32,3,6,7,0,0,3,9.72,0
42021,34,393,5,136,7,5,27,9.96,0
64449,70,218,63,282,137,35,70,8.49,2
64587,49,66,0,16,0,6,20,8.15,0
75437,25,795,0,545,95,58,0,8.77,2
52845,7,384,25,292,130,41,64,9.01,0
46086,34,244,8,32,7,2,50,8.79,0
78028,38,158,19,288,25,0,38,9.93,0
95169,1,1285,21,449,106,20,20,8.85,2
56337,25,349,16,144,28,5,182,9.39,0
22434,25,4,12,11,3,13,15,9.51,0
36930,50,223,2,31,0,2,39,9.25,1
36130,46,157,43,127,68,56,37,9.54,0
65569,96,397,46,288,20,38,70,9.78,1
19514,47,14,3,21,2,1,28,8.56,0
36736,52,10,0,3,0,0,4,9.27,1
77568,30,1230,0,396,232,178,158,9.98,2
49187,63,81,1,31,2,1,0,8.6,1
30168,51,154,20,66,0,12,27,9.45,1
34053,14,63,0,21,7,0,12,9.93,0
38196,20,30,0,11,0,0,3,8.33,0
59412,56,90,67,165,30,43,11,8.33,1
70924,41,635,114,254,132,152,76,8.36,2
54165,72,127,4,73,15,6,11,9.22,1
32300,1,13,3,6,6,5,6,9.62,0
20180,27,18,42,24,15,20,18,9.49,0
34961,77,45,2,26,4,1,1,8.16,1
28440,87,38,1,24,0,0,0,9.11,1
64504,81,986,36,168,16,0,108,9.45,2
33564,51,61,0,3,0,0,7,8.15,1
17345,79,4,9,16,17,0,12,9.79,1
56320,11,201,53,172,116,77,83,9.36,2
28647,54,19,8,29,0,12,26,8.99,1
15038,93,4,8,11,19,12,26,9.55,1
32173,0,18,0,2,0,0,2,9.04,0
68316,54,806,80,161,120,11,33,9.78,2
74538,21,380,98,733,110,112,28,9.13,2
91700,58,576,172,961,125,115,19,9.58,2
68695,3,458,81,356,106,50,40,8.15,2
31056,99,5,10,13,3,8,16,9.57,1
28071,65,39,33,130,41,26,44,9.97,1
37334,44,26,1,16,2,2,15,8.47,0
46423,6,68,0,16,0,0,8,8.91,0
37126,9,45,3,9,4,4,7,8.38,0
47703,95,359,0,134,13,26,123,9.22,1
61180,70,403,24,29,6,24,218,8.32,1
38998,92,34,1,14,0,0,5,9.79,1
8028,62,73,18,66,7,12,2,9.91,1
76081,85,292,30,415,63,33,200,8.24,1
34728,2,14,0,16,0,0,6,9.05,0
33168,0,80,1,37,0,1,3,9.84,0
33585,91,30,11,33,13,6,29,8.89,1
77037,3,463,96,333,168,53,10,8.84,2
35196,68,75,12,141,43,39,187,9.76,1
44529,98,538,13,91,17,6,26,9.12,1
28764,16,8,0,3,0,0,1,8.2,0
69098,82,1315,22,780,145,0,178,9.5,2
25959,1,4,2,12,7,5,26,9.5,0
27100,64,12,0,13,2,0,10,9.37,1
70596,68,347,44,534,17,0,26,9.87,1
42557,98,192,5,53,0,5,15,9.97,1
53312,32,241,0,12,0,0,25,9.02,0
72228,87,631,28,491,30,14,56,9.72,1
67605,84,336,28,282,184,54,54,9.38,2
62845,3,1099,0,45,0,0,34,9.88,0
65196,34,743,19,181,12,0,200,9.06,2
42000,23,124,83,267,85,59,35,9.6,2
35860,37,15,0,8,4,2,20,8.25,0
65526,22,397,19,69,12,0,9,8.35,0
16860,19,10,4,4,3,3,14,9.93,0
83528,7,530,117,678,134,44,147,8.3,2
64176,52,1215,33,249,64,116,149,10.04,2
22304,91,3,2,7,0,4,2,10.04,1
67023,93,444,44,382,11,8,17,8.45,1
70713,23,736,114,279,82,76,190,9.7,2
59925,83,473,21,176,19,21,56,9.71,1
39722,92,32,0,5,2,0,8,8.48,1
46610,4,288,10,30,4,10,125,9.08,0
88347,32,1050,178,555,77,138,118,9.12,2
87171,27,1001,44,107,58,44,44,9.3,2
26907,10,9,1,7,0,3,2,8.99,0
50014,9,234,14,77,19,10,42,8.57,0
41014,65,7,2,6,2,0,3,9.32,1
66294,68,251,108,334,65,92,117,8.42,2
36715,16,172,10,125,21,13,16,9.75,0
79456,12,565,42,548,64,83,99,9.99,2
40479,95,5,0,8,2,0,0,9.0,1
75345,16,918,57,842,99,38,133,9.54,2
54233,46,652,8,158,21,0,142,9.53,2
24163,3,4,1,7,2,1,2,8.85,0
84460,80,152,27,103,106,54,81,9.62,2
43776,77,8,0,9,2,1,3,8.29,1
71691,0,336,130,411,240,32,43,8.42,2
85844,62,938,19,843,25,95,38,8.22,2
39190,91,68,8,18,19,8,12,8.31,1
38578,2,38,4,22,3,3,3,9.15,0
57236,22,105,0,9,2,1,4,8.43,0
61825,56,162,50,100,55,30,27,9.03,1
79803,54,574,8,216,21,16,33,8.21,1
80910,71,160,80,369,67,39,41,9.79,2
27590,38,6,0,5,0,0,1,9.32,0
56775,62,614,35,160,58,35,35,9.62,2
83829,78,897,161,430,186,161,27,8.86,2
54210,18,70,54,109,80,9,45,9.24,0
38508,95,120,19,206,25,19,54,9.04,1
53187,66,211,2,30,7,7,10,8.81,1
30023,28,11,0,16,7,6,21,8.4,0
76045,78,760,53,400,17,93,0,8.75,2
50870,13,53,0,8,0,0,2,8.16,0
65463,17,391,32,70,21,32,16,8.55,0
66480,71,199,9,57,20,21,6,8.21,1
76773,79,516,56,449,86,33,16,9.47,2
81698,1,709,45,115,30,160,45,9.46,2
54466,78,12,0,4,0,0,0,8.52,1
16269,75,19,3,18,3,1,0,8.96,1
71819,70,1224,28,140,0,14,168,8.97,2
33569,10,16,2,18,3,0,24,8.84,0
36262,24,88,39,54,64,28,153,8.91,0
22634,47,2,23,11,8,6,46,9.58,0
47025,98,508,11,59,23,5,29,8.93,1
70566,4,381,28,215,84,28,21,8.86,0
31605,15,74,0,42,2,1,6,9.73,0
52034,67,146,0,93,7,13,73,9.25,1
48526,32,23,17,23,43,20,9,8.65,0
46734,40,110,5,137,26,23,29,9.75,0
39552,54,165,3,147,4,24,41,9.66,1
86358,78,957,47,494,82,47,95,10.02,2
46931,94,41,0,17,3,1,16,8.32,1
16581,51,1,3,4,2,3,11,9.59,1
63998,42,176,29,818,0,33,112,8.66,0
67381,67,815,8,53,11,0,70,9.59,1
25930,87,6,1,2,2,0,4,8.85,1
42693,29,8,4,20,6,3,16,8.19,0
85606,89,717,42,864,219,30,84,9.76,2
72903,74,1067,138,750,0,19,39,8.8,2
49669,97,166,5,107,11,8,29,8.23,1
36778,63,29,4,34,2,4,4,10.03,1
85696,88,714,76,395,116,0,12,9.29,2
49678,81,229,5,56,3,2,20,9.54,1
37155,51,23,0,26,7,15,3,9.54,1
21282,76,1,5,8,4,8,20,8.27,1
33419,76,56,0,12,0,0,18,9.0,1
63285,84,508,124,249,50,38,134,8.78,2
21255,56,29,0,25,2,2,3,8.57,1
42162,31,46,7,59,2,4,27,8.74,0
54450,0,454,0,171,8,19,32,9.92,0
57744,91,350,3,39,0,0,19,8.76,1
26576,40,10,0,8,0,0,9,9.84,0
57513,59,735,40,183,52,20,30,9.12,2
68142,96,897,126,196,91,112,37,9.97,2
7500,61,5,2,3,3,0,5,9.97,1
83145,14,777,35,731,39,137,114,9.9,2
54197,16,162,6,37,6,13,13,8.37,0
23091,98,35,0,11,0,0,2,8.22,1
46049,11,342,9,112,19,14,19,9.07,0
56715,52,258,105,239,237,172,9,9.7,2
79410,19,658,80,483,123,13,13,8.22,2
57304,61,356,80,329,138,17,106,9.44,2
44375,73,213,5,28,7,7,41,8.4,1
59594,74,457,4,29,0,0,9,9.82,1
80685,55,241,45,604,34,26,54,9.99,2
40344,48,210,0,6,0,0,2,8.84,0
62710,53,441,35,83,7,29,11,9.24,1
48985,13,19,13,18,10,7,8,9.12,0
35322,34,28,9,37,12,7,13,9.99,0
77142,54,476,75,162,29,151,97,9.22,2
81657,69,364,40,425,158,60,50,8.57,2
14421,81,0,0,2,3,3,8,8.5,1
74214,3,863,83,547,86,99,33,9.98,2
66726,61,349,7,35,0,0,47,8.59,1
23724,65,5,23,15,0,18,14,9.61,1
47353,93,184,2,19,8,8,4,8.76,1
33444,24,8,0,8,0,0,2,9.79,0
54386,8,277,21,64,62,21,25,9.25,0
28510,72,44,5,19,0,4,19,9.35,1
90638,29,1156,120,915,94,144,96,8.51,2
48070,33,373,14,83,6,9,19,9.59,0
43140,68,134,8,76,6,0,11,9.61,1
54959,55,1148,0,60,0,0,24,9.58,1
15056,76,6,12,3,21,6,40,9.29,1
26954,17,4,1,11,0,0,1,8.28,0
22327,94,5,4,8,2,0,5,9.04,1
44393,86,24,2,20,2,2,10,8.99,1
62000,25,899,0,101,0,0,20,8.98,0
31497,22,108,1,28,13,1,4,9.7,0
45894,15,27,2,7,0,2,13,8.47,0
78579,35,816,66,549,216,66,99,9.65,2
67369,81,1298,0,70,37,14,42,9.75,2
58401,55,10,0,11,17,29,29,8.33,1
62307,94,87,13,34,10,6,10,8.5,1
43641,50,57,2,51,4,2,23,9.32,1
70091,11,964,34,137,15,0,11,9.38,0
78075,72,572,8,259,34,35,80,8.37,1
59184,6,341,142,113,259,151,66,9.94,2
54809,0,63,6,57,13,13,22,8.93,0
58113,66,221,104,169,102,78,84,9.56,2
51412,42,140,3,29,4,5,14,8.63,0
66636,64,291,10,689,84,10,0,9.0,1
50965,87,544,13,85,8,6,29,9.49,1
18351,1,1,12,9,0,14,7,8.8,0
40451,54,35,0,4,0,0,10,8.5,1
36317,53,87,3,25,3,2,13,9.24,1
42213,96,309,3,24,4,3,20,8.85,1
65748,58,172,73,93,95,78,34,9.34,2
77044,12,625,38,242,50,34,76,8.81,0
74918,78,972,59,913,25,19,59,9.43,2
56721,64,157,6,39,6,13,75,9.79,1
42160,26,48,9,45,3,15,20,9.14,0
61559,8,279,83,88,32,14,34,9.08,0
33629,49,132,0,16,0,0,4,10.02,1
34377,55,62,0,22,3,1,26,9.58,1
8940,25,1,45,3,4,6,42,9.99,0
26228,50,2,6,4,3,1,9,8.9,1
77297,84,408,61,109,48,122,41,9.56,2
40211,30,51,1,7,2,1,25,9.05,0
33438,81,62,1,16,3,2,6,8.9,1
75032,74,952,12,180,47,12,12,9.3,2
61284,76,618,15,106,20,7,45,8.85,1
22518,36,11,7,12,2,2,27,9.82,0
54730,64,318,3,17,4,7,56,9.01,1
38452,62,56,0,14,0,0,2,8.38,1
44421,53,110,5,59,7,1,7,9.5,1
38197,86,23,0,11,2,1,3,9.13,1
41986,15,27,5,8,8,3,12,8.52,0
28427,67,18,3,19,3,3,6,9.41,1
37395,47,18,0,9,0,1,11,8.29,0
64722,47,303,0,280,60,147,15,8.23,0
55249,81,97,1,19,2,0,11,8.33,1
84906,98,997,15,414,99,30,76,8.87,2
44213,48,95,11,35,0,4,7,8.72,0
25707,18,1,6,2,3,6,3,8.58,0
59062,74,46,1,12,3,0,9,8.87,1
76624,68,411,106,147,54,115,66,8.23,2
66000,36,244,51,270,101,0,45,8.33,0
27683,90,152,9,121,12,12,45,10.04,1
1730,65,1,1,3,1,1,1,8.25,1
7500,63,10,17,18,8,26,40,9.7,1
40521,82,12,0,5,0,0,4,9.37,1
20427,63,5,0,4,0,0,1,8.4,1
65106,55,790,19,133,12,0,19,8.23,1
69969,64,882,29,514,38,29,44,8.97,2
67433,51,615,28,259,12,48,30,9.09,2
77766,97,1004,59,265,115,59,27,9.48,2
74716,92,133,27,421,13,195,71,8.93,1
55158,72,293,0,87,4,11,23,10.05,1
62972,39,313,15,47,20,0,192,10.04,0
74190,49,151,81,86,168,91,64,8.27,2
39356,21,15,0,2,0,0,6,8.41,0
76653,91,736,63,946,219,189,126,9.0,2
90687,98,982,17,672,23,34,51,9.24,2
73450,85,1142,51,415,90,69,37,8.7,2
31454,40,28,0,11,0,0,9,9.12,0
47139,2,46,0,12,0,2,23,8.45,0
53378,41,489,6,152,8,6,132,9.9,0
19656,94,25,4,9,6,8,32,9.52,1
45579,10,145,1,33,2,1,1,8.99,0
85485,73,630,26,611,44,18,54,8.16,1
55956,22,760,38,104,50,9,38,8.36,0
64191,30,420,15,186,151,38,15,9.57,2
38808,21,125,17,52,3,19,30,9.98,0
57183,51,464,5,64,7,0,70,9.41,1
23748,97,6,6,29,12,15,8,9.74,1
66303,56,1090,12,96,16,12,60,9.47,2
37368,4,3,2,11,2,2,10,8.67,0
40800,77,24,0,27,8,30,10,9.62,1
71847,95,737,21,106,55,63,210,9.9,2
